=== TABLE 4: KIEM THU SIT (96 rows) ===
R0: TT | Công việc | Ngày công | Đơn giá (VNĐ) | Thành tiền (VNĐ) | Ghi chú
R44:  | BE- API danh sách sản phẩm vay |  |  |  | 
R45:  | BE- API phê duyệt/ từ chối duyệt |  |  |  | 
R46:  | BE- API  thêm mới sản phẩm vay |  |  |  | 
R47:  | BE - API sửa thông tin sản phẩm vay |  |  |  | 
R48:  | BE - API xóa thông tin sản phẩm vay |  |  |  | 
R49:  | BE - API xem chi tiết thông tin sản phẩm vay |  |  |  | 
R50: 6 | Màn hình quản lý cán bộ nhận |  |  |  | 
R51:  | Web- màn hình Quản lý cán bộ nhận |  |  |  | 
R52: 7 | Báo cáo khách hàng đặt lịch hẹn |  |  |  | 
R53:  | Web- màn hình báo cáo khách hàng đặt lịch hẹn |  |  |  | 
R54:  | Web- export báo cáo khách hàng đặt lịch hẹn |  |  |  | 
R55:  | BE- API lấy báo cáo khách hàng đặt lịch hẹn |  |  |  | 
R56:  | BE- API export báo cáo khách hàng đặt lịch hẹn |  |  |  | 
R57: 8 | Báo cáo khách hàng đăng ký lái thử |  |  |  | 
R58:  | Web- Màn hình Báo cáo khách hàng đăng ký lái thử |  |  |  | 
R59:  | Web- export Báo cáo khách hàng đăng ký lái thử |  |  |  | 
R60:  | BE- API Báo cáo khách hàng đăng ký lái thử |  |  |  | 
R61:  | BE- API export  Báo cáo khách hàng đăng ký lái thử |  |  |  | 
R62: 9 | Báo cáo hoa hồng CTV từng chi nhánh |  |  |  | 
R63:  | Web- Màn hình Báo cáo hoa hồng CTV từng chi nhánh |  |  |  | 
R64:  | Web- export Báo cáo hoa hồng CTV từng chi nhánh |  |  |  | 
R65:  | BE- API Báo cáo hoa hồng CTV từng chi nhánh |  |  |  | 
R66:  | BE- API export  Báo cáo hoa hồng CTV từng chi nhánh |  |  |  | 
R67: 10 | Quản lý đối tác kết nối (sàn bđs) |  |  |  | 
R68:  | Web- Màn hình Danh sách Sàn BĐS |  |  |  | 
R69: 11 | Quản lý QR code |  |  |  | 
R70:  | Web- Màn hình danh sách QR code |  |  |  | 
R71: 12 | Màn hình thông tin tài khoản |  |  |  | 
R72:  | BE- Sửa API lấy thông tin tài khoản check role user có  |  |  |  | 
R73:  | FE-  Sửa mục dự án yêu thích và video yêu thích thêm sả |  |  |  | 
R74:  | BE - Sửa API dự án yêu thích và video yêu thích thêm sả |  |  |  | 
R75:  | FE- Thêm màn hình khoản vay giới thiệu cho user CTV |  |  |  | 
R76:  | BE- API danh sách khoản vay giới thiệu cho user CTV |  |  |  | 
R77: 13 | Màn hình danh sách lịch hẹn |  |  |  | 
R78:  | FE-  Sửa màn hình lịch hẹn đã tạo thêm lịch hẹn mua ô t |  |  |  | 
R79:  | BE- Sửa API lịch hẹn đã tạo |  |  |  | 
R80: 14 | Màn hình xem video |  |  |  | 
R81:  | FE-  Sửa màn hình xem video thêm video sản phẩm ô tô và |  |  |  | 
R82:  | BE - Sửa API danh sách video thêm video sản phẩm ô tô v |  |  |  | 
R83:  | FE- Download video kèm watermark |  |  |  | 
R84:  | BE- API download video kèm watermark (Xử lý video add t |  |  |  | 
R85:  | FE-  Chức năng theo dõi chủ đầu tư |  |  |  | 
R86:  | BE- API theo dõi chủ đầu tư |  |  |  | 
R87: 15 | Trang chủ ô tô - video cho bạn |  |  |  | 
R88:  | FE - Hiển thị danh sách video ô tô cho bạn |  |  |  | 
R89:  | BE - Sửa API lấy danh sách video gợi ý theo type ô tô |  |  |  | 
R90: 16 | Đăng ký lái thử |  |  |  | 
R91:  | FE- Màn hình nhập thông tin đăng ký lái thử |  |  |  | 
R92:  | BE- API xác nhận OTP và lưu thông tin đăng ký lái thử |  |  |  | 
R93:  | BE- Gửi OTT và SMS tới cán bộ chi nhánh đầu mối |  |  |  | 
R94: 17 | Xây dựng Web đáp ứng tiêu chuẩn SEO |  |  |  | 
R95:  | Dynamic link tích hợp trên SEO website |  |  |  | 
